songid,week,total_weeks,cum_week,performer,song,genre,trackid,url,album,explicit,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
When The Party's OverBillie Eilish,0,23,1,Billie Eilish,When The Party's Over,"['electropop', 'pop']",43zdsphuZLzwA9k4DJhU0I,,WHEN WE ALL FALL ASLEE,FALSE,196077,91,0.367,0.111,4,-14.084,1,0.0972,0.978,0.0000397,0.0897,0.198,82.642,4
Make It SweetOld Dominion,1,20,1,Old Dominion,Make It Sweet,"['contemporary country', 'country road']",23vpjrt7G0ERE2L95dyxdI,https://p.scdn.co/mp3-preview/4348b7b358ef9fdeda197d019e71da64223c466c?cid=b8d3901151d34489a160e3cf0ab1fa94,Old Dominion,FALSE,187000,69,0.424,0.837,7,-4.453,1,0.0472,0.0373,0,0.0665,0.555,180.166,4
GIRLMaren Morris,4,21,1,Maren Morris,GIRL,"['contemporary country', 'pop', 'texas country']",3y5B5ebFMzEEFqCPOesAXR,https://p.scdn.co/mp3-preview/6d9117232204a352333ba7f29a9f6534c8457a9e?cid=b8d3901151d34489a160e3cf0ab1fa94,GIRL,FALSE,250653,72,0.44,0.793,6,-3.95,1,0.0502,0.0677,0,0.0788,0.447,143.599,4
How Do You Sleep?Sam Smith,30,20,1,Sam Smith,How Do You Sleep?,"['pop', 'post-teen pop', 'uk pop']",6b2RcmUt1g9N9mQ3CbjX2Y,,How Do You Sleep?,FALSE,202204,92,0.477,0.682,1,-4.931,0,0.0925,0.153,0,0.0763,0.345,110.567,5
You SayLauren Daigle,0,20,1,Lauren Daigle,You Say,"['ccm', 'christian music', 'worship']",6Up545NUflOiXo8cEraH49,https://p.scdn.co/mp3-preview/3af292e58be8ef42836922174a85571a24ab7937?cid=b8d3901151d34489a160e3cf0ab1fa94,Look Up Child,FALSE,274693,81,0.486,0.632,5,-6.89,1,0.0344,0.682,0,0.0869,0.0791,147.892,4
Someone You LovedLewis Capaldi,20,32,1,Lewis Capaldi,Someone You Loved,"['pop', 'uk pop']",7qEHsqek33rTcFNT9PFqLf,,Divinely Uninspired To A Hellish Extent,FALSE,182160,96,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,4
Here TonightBrett Young,1,20,1,Brett Young,Here Tonight,['contemporary country'],38nVuIj9mi5a8oopOJhSJk,,Ticket To L.A.,FALSE,216533,69,0.517,0.776,11,-5.271,1,0.0362,0.0144,0,0.113,0.448,96.002,4
God's CountryBlake Shelton,14,23,1,Blake Shelton,God's Country,"['contemporary country', 'country', 'country road', 'oklahoma country']",1dyxS3YzBbL0t8rEVwVQ1K,https://p.scdn.co/mp3-preview/4090618c91ecefd9120f21a030f562457b0186ac?cid=b8d3901151d34489a160e3cf0ab1fa94,God's Country,FALSE,205106,78,0.538,0.752,10,-5.106,1,0.0396,0.0608,5.39E-06,0.118,0.217,139.984,4
Beer Never Broke My HeartLuke Combs,19,21,1,Luke Combs,Beer Never Broke My Heart,['contemporary country'],3RzcoFkZ0AOp2nH71jP504,https://p.scdn.co/mp3-preview/6a1fbf9017964d3ad2d1f11cf9288bc2eadd9c04?cid=b8d3901151d34489a160e3cf0ab1fa94,What You See Is What You Get,FALSE,186733,79,0.54,0.863,1,-4.483,1,0.0481,0.0138,0,0.0874,0.64,77,4
GoodbyesPost Malone Featuring Young Thug,28,21,1,Post Malone Featuring Young Thug,Goodbyes,"['dfw rap', 'melodic rap', 'rap']",0t3ZvGKlmYmVsDzBJAXK8C,,Hollywood's Bleeding,TRUE,174853,91,0.548,0.653,5,-3.875,1,0.081,0.456,0,0.103,0.163,150.068,4
Beautiful CrazyLuke Combs,0,25,1,Luke Combs,Beautiful Crazy,['contemporary country'],2rxQMGVafnNaRaXlRMWPde,https://p.scdn.co/mp3-preview/46f30246879a353edb15e19f91eb63376053cace?cid=b8d3901151d34489a160e3cf0ab1fa94,This One's for You Too (Deluxe Edition),FALSE,193200,82,0.552,0.402,11,-7.431,1,0.0262,0.676,0,0.0928,0.382,103.313,4
Be AlrightDean Lewis,0,21,1,Dean Lewis,Be Alright,"['australian pop', 'pop']",3EPXxR3ImUwfayaurPi3cm,,Be Alright,TRUE,196373,85,0.553,0.586,11,-6.319,1,0.0362,0.697,0,0.0813,0.443,126.684,4
"Eastsidebenny blanco, Halsey & Khalid",0,29,1,"benny blanco, Halsey & Khalid",Eastside,"['dance pop', 'pop', 'pop rap', 'tropical house']",0d2iYfpKoM0QCKvcLCkBao,,Eastside (with Halsey & Khalid),FALSE,173799,84,0.56,0.68,6,-7.648,0,0.321,0.555,0,0.116,0.319,89.391,4
ShallowLady Gaga & Bradley Cooper,0,33,1,Lady Gaga & Bradley Cooper,Shallow,"['dance pop', 'pop']",2VxeLyX666F8uXCJ0dZF8B,,A Star Is Born Soundtrack,FALSE,215733,89,0.572,0.385,7,-6.362,1,0.0308,0.371,0,0.231,0.323,95.799,4
"Hey Look Ma, I Made ItPanic! At The Disco",16,22,1,Panic! At The Disco,"Hey Look Ma, I Made It","['baroque pop', 'emo', 'modern rock']",22oEJW6r2rMb9z4IntfyEa,https://p.scdn.co/mp3-preview/724c46d8f0fb7ad7277eb244f1f865d33cd1f246?cid=b8d3901151d34489a160e3cf0ab1fa94,Pray for the Wicked,FALSE,169666,80,0.577,0.833,5,-3.337,1,0.0695,0.0137,0,0.121,0.58,107.936,4
High HopesPanic! At The Disco,0,32,1,Panic! At The Disco,High Hopes,"['baroque pop', 'emo', 'modern rock']",1rqqCSm0Qe4I9rUvWncaom,https://p.scdn.co/mp3-preview/f6404b1b3199442271c17d9e1461c3f2a52018f8?cid=b8d3901151d34489a160e3cf0ab1fa94,Pray for the Wicked,FALSE,190946,88,0.579,0.904,5,-2.729,1,0.0618,0.193,0,0.064,0.681,82.014,4
SwervinA Boogie Wit da Hoodie Featuring 6ix9ine,0,20,1,A Boogie Wit da Hoodie Featuring 6ix9ine,Swervin,"['melodic rap', 'pop rap', 'rap', 'trap']",1wJRveJZLSb1rjhnUHQiv6,https://p.scdn.co/mp3-preview/4c2dc4b8977f9b92768f9825094288d9de71fd09?cid=b8d3901151d34489a160e3cf0ab1fa94,Hoodie SZN,TRUE,189486,86,0.581,0.662,9,-5.239,1,0.303,0.0153,0,0.111,0.434,93.023,4
